,source,year,birth_place,population,population_percent
62,prison,1878,Scotland,0.0,0.0
63,prison,1878,Serbia,0.0,0.0
64,prison,1878,Siam,0.0,0.0
65,prison,1878,Siberia,0.0,0.0
66,prison,1878,Sicily,0.0,0.0
67,prison,1878,South Africa,0.0,0.0
68,prison,1878,South America,0.0,0.0
69,prison,1878,South Sea Islands,0.0,0.0
70,prison,1878,South Wales,0.0,0.0
71,prison,1878,Spain,0.0,0.0
72,prison,1878,Sweden,0.0,0.0
73,prison,1878,Switzerland,0.0,0.0
74,prison,1878,Syria,0.0,0.0
75,prison,1878,Turkey,0.0,0.0
76,prison,1878,Wales,0.0,0.0
77,prison,1878,West Indies,0.0,0.0
78,prison,1878,Alabama,1.0,0.006896551724137931
79,prison,1878,Alaska,0.0,0.0
80,prison,1878,Arizona,0.0,0.0
81,prison,1878,Arkansas,0.0,0.0
82,prison,1878,California,1.0,0.006896551724137931
83,prison,1878,Colorado,0.0,0.0
84,prison,1878,Connecticut,0.0,0.0
85,prison,1878,D.C.,6.0,0.041379310344827586
86,prison,1878,Delaware,0.0,0.0
87,prison,1878,Florida,0.0,0.0
88,prison,1878,Georgia,1.0,0.006896551724137931
89,prison,1878,Hawaii,0.0,0.0
90,prison,1878,Idaho,0.0,0.0
91,prison,1878,Illinois ,3.0,0.020689655172413793
92,prison,1878,Indiana,4.0,0.027586206896551724
93,prison,1878,Iowa,7.0,0.04827586206896552
94,prison,1878,Kansas,1.0,0.006896551724137931
95,prison,1878,Kentucky,2.0,0.013793103448275862
96,prison,1878,Louisiana ,2.0,0.013793103448275862
97,prison,1878,Maine,0.0,0.0
98,prison,1878,Maryland,1.0,0.006896551724137931
99,prison,1878,Massachusetts,5.0,0.034482758620689655
100,prison,1878,Michigan,1.0,0.006896551724137931
101,prison,1878,Minnesota,1.0,0.006896551724137931
102,prison,1878,Mississippi,0.0,0.0
103,prison,1878,Missouri,13.0,0.0896551724137931
104,prison,1878,Montana,0.0,0.0
105,prison,1878,Nebraska ,1.0,0.006896551724137931
106,prison,1878,Nevada,0.0,0.0
107,prison,1878,New Hampshire,0.0,0.0
108,prison,1878,New Jersey,0.0,0.0
109,prison,1878,New Mexico,3.0,0.020689655172413793
110,prison,1878,New York,20.0,0.13793103448275862
111,prison,1878,North Carolina,1.0,0.006896551724137931
112,prison,1878,North Dakota,0.0,0.0
113,prison,1878,Ohio,8.0,0.05517241379310345
114,prison,1878,Oklahoma,0.0,0.0
115,prison,1878,Oregon,0.0,0.0
116,prison,1878,Pennsylvania,6.0,0.041379310344827586
117,prison,1878,Rhode Island,0.0,0.0
118,prison,1878,South Carolina,0.0,0.0
119,prison,1878,South Dakota,0.0,0.0
120,prison,1878,Tennessee ,1.0,0.006896551724137931
121,prison,1878,Texas,1.0,0.006896551724137931
122,prison,1878,Utah,0.0,0.0
123,prison,1878,Vermont,1.0,0.006896551724137931
124,prison,1878,Virginia,2.0,0.013793103448275862
125,prison,1878,Washington,0.0,0.0
126,prison,1878,West Virginia,0.0,0.0
127,prison,1878,Wisconsin,3.0,0.020689655172413793
128,prison,1878,Wyoming,0.0,0.0
129,prison,1880,Albania,0.0,0.0
130,prison,1880,Africa,0.0,0.0
131,prison,1880,Alsace,0.0,0.0
132,prison,1880,Argentine,0.0,0.0
133,prison,1880,Assyria,0.0,0.0
134,prison,1880,Australia,0.0,0.0
135,prison,1880,Austria,1.0,0.004464285714285714
136,prison,1880,Belgium,0.0,0.0
137,prison,1880,Bermuda Islands,0.0,0.0
138,prison,1880,Bohemia,1.0,0.004464285714285714
139,prison,1880,Brazil,0.0,0.0
140,prison,1880,British Columbia,0.0,0.0
141,prison,1880,British West Indies,0.0,0.0
142,prison,1880,Bulgaria,0.0,0.0
143,prison,1880,Canada,6.0,0.026785714285714284
144,prison,1880,Cape Good Hope,0.0,0.0
145,prison,1880,Central America,0.0,0.0
146,prison,1880,Czecho-Slovakia,0.0,0.0
147,prison,1880,China,0.0,0.0
148,prison,1880,Costa Rica,0.0,0.0
149,prison,1880,Crete,0.0,0.0
150,prison,1880,Croatia,0.0,0.0
151,prison,1880,Cuba,0.0,0.0
152,prison,1880,Denmark,0.0,0.0
153,prison,1880,East Indies,0.0,0.0
154,prison,1880,England,11.0,0.049107142857142856
155,prison,1880,Egypt,0.0,0.0
156,prison,1880,Findland,0.0,0.0
157,prison,1880,France,1.0,0.004464285714285714
158,prison,1880,Germany,8.0,0.03571428571428571
159,prison,1880,Greece,0.0,0.0
160,prison,1880,Holland,0.0,0.0
161,prison,1880,Hungary,0.0,0.0
162,prison,1880,India,0.0,0.0
163,prison,1880,Ireland,18.0,0.08035714285714286
164,prison,1880,Italy,6.0,0.026785714285714284
165,prison,1880,Isle of Man,1.0,0.004464285714285714
166,prison,1880,Jamaica,0.0,0.0
167,prison,1880,Japan,0.0,0.0
168,prison,1880,Java,0.0,0.0
169,prison,1880,Jugo-Slovakia (slavia),0.0,0.0
170,prison,1880,Korea,0.0,0.0
171,prison,1880,Lithuania,0.0,0.0
172,prison,1880,Mexico (old),2.0,0.008928571428571428
173,prison,1880,Montenegro,0.0,0.0
174,prison,1880,Netherlands,0.0,0.0
175,prison,1880,New Brunswick,0.0,0.0
176,prison,1880,New Foundland,0.0,0.0
177,prison,1880,New Zealand,0.0,0.0
178,prison,1880,Nicaragua,0.0,0.0
179,prison,1880,Norway,0.0,0.0
180,prison,1880,Nova Scotia,1.0,0.004464285714285714
181,prison,1880,Ontario,0.0,0.0
182,prison,1880,Philippine Islands,0.0,0.0
183,prison,1880,Poland,0.0,0.0
184,prison,1880,Porto Rico,0.0,0.0
185,prison,1880,Portugal,0.0,0.0
186,prison,1880,Prince Edward Isle,0.0,0.0
187,prison,1880,Prussia,3.0,0.013392857142857142
188,prison,1880,Roumania,0.0,0.0
189,prison,1880,Russia,1.0,0.004464285714285714
190,prison,1880,Saxony,1.0,0.004464285714285714
191,prison,1880,Scotland,1.0,0.004464285714285714
192,prison,1880,Serbia,0.0,0.0
193,prison,1880,Siam,0.0,0.0
194,prison,1880,Siberia,0.0,0.0
195,prison,1880,Sicily,0.0,0.0
196,prison,1880,South Africa,0.0,0.0
197,prison,1880,South America,0.0,0.0
198,prison,1880,South Sea Islands,0.0,0.0
199,prison,1880,South Wales,0.0,0.0
200,prison,1880,Spain,0.0,0.0
201,prison,1880,Sweden,0.0,0.0
202,prison,1880,Switzerland,0.0,0.0
203,prison,1880,Syria,0.0,0.0
204,prison,1880,Turkey,0.0,0.0
205,prison,1880,Wales,0.0,0.0
206,prison,1880,West Indies,0.0,0.0
207,prison,1880,Alabama,0.0,0.0
208,prison,1880,Alaska,0.0,0.0
209,prison,1880,Arizona,0.0,0.0
210,prison,1880,Arkansas,0.0,0.0
211,prison,1880,California,1.0,0.004464285714285714
212,prison,1880,Colorado,0.0,0.0
213,prison,1880,Connecticut,1.0,0.004464285714285714
214,prison,1880,D.C.,3.0,0.013392857142857142
215,prison,1880,Delaware,0.0,0.0
216,prison,1880,Florida,0.0,0.0
217,prison,1880,Georgia,1.0,0.004464285714285714
218,prison,1880,Hawaii,0.0,0.0
219,prison,1880,Idaho,0.0,0.0
220,prison,1880,Illinois ,9.0,0.04017857142857143
221,prison,1880,Indiana,1.0,0.004464285714285714
222,prison,1880,Iowa,8.0,0.03571428571428571
223,prison,1880,Kansas,2.0,0.008928571428571428
224,prison,1880,Kentucky,8.0,0.03571428571428571
225,prison,1880,Louisiana ,3.0,0.013392857142857142
226,prison,1880,Maine,2.0,0.008928571428571428
227,prison,1880,Maryland,2.0,0.008928571428571428
228,prison,1880,Massachusetts,6.0,0.026785714285714284
229,prison,1880,Michigan,3.0,0.013392857142857142
230,prison,1880,Minnesota,0.0,0.0
231,prison,1880,Mississippi,1.0,0.004464285714285714
232,prison,1880,Missouri,15.0,0.06696428571428571
233,prison,1880,Montana,0.0,0.0
234,prison,1880,Nebraska ,1.0,0.004464285714285714
235,prison,1880,Nevada,0.0,0.0
236,prison,1880,New Hampshire,0.0,0.0
237,prison,1880,New Jersey,2.0,0.008928571428571428
238,prison,1880,New Mexico,2.0,0.008928571428571428
239,prison,1880,New York,36.0,0.16071428571428573
240,prison,1880,North Carolina,1.0,0.004464285714285714
241,prison,1880,North Dakota,0.0,0.0
242,prison,1880,Ohio,14.0,0.0625
243,prison,1880,Oklahoma,0.0,0.0
244,prison,1880,Oregon,0.0,0.0
245,prison,1880,Pennsylvania,23.0,0.10267857142857142
246,prison,1880,Rhode Island,1.0,0.004464285714285714
247,prison,1880,South Carolina,1.0,0.004464285714285714
248,prison,1880,South Dakota,0.0,0.0
249,prison,1880,Tennessee ,2.0,0.008928571428571428
250,prison,1880,Texas,4.0,0.017857142857142856
251,prison,1880,Utah,0.0,0.0
252,prison,1880,Vermont,3.0,0.013392857142857142
253,prison,1880,Virginia,3.0,0.013392857142857142
254,prison,1880,Washington,0.0,0.0
255,prison,1880,West Virginia,0.0,0.0
256,prison,1880,Wisconsin,3.0,0.013392857142857142
257,prison,1880,Wyoming,0.0,0.0
258,prison,1882,Albania,0.0,0.0
259,prison,1882,Africa,0.0,0.0
260,prison,1882,Alsace,0.0,0.0
261,prison,1882,Argentine,0.0,0.0
262,prison,1882,Assyria,0.0,0.0
263,prison,1882,Australia,1.0,0.003115264797507788
264,prison,1882,Austria,0.0,0.0
265,prison,1882,Belgium,0.0,0.0
266,prison,1882,Bermuda Islands,0.0,0.0
267,prison,1882,Bohemia,0.0,0.0
268,prison,1882,Brazil,0.0,0.0
269,prison,1882,British Columbia,0.0,0.0
270,prison,1882,British West Indies,0.0,0.0
271,prison,1882,Bulgaria,0.0,0.0
272,prison,1882,Canada,7.0,0.021806853582554516
273,prison,1882,Cape Good Hope,0.0,0.0
274,prison,1882,Central America,0.0,0.0
275,prison,1882,Czecho-Slovakia,0.0,0.0
276,prison,1882,China,0.0,0.0
277,prison,1882,Costa Rica,0.0,0.0
278,prison,1882,Crete,0.0,0.0
279,prison,1882,Croatia,0.0,0.0
280,prison,1882,Cuba,1.0,0.003115264797507788
281,prison,1882,Denmark,0.0,0.0
282,prison,1882,East Indies,0.0,0.0
283,prison,1882,England,11.0,0.03426791277258567
284,prison,1882,Egypt,0.0,0.0
285,prison,1882,Findland,0.0,0.0
286,prison,1882,France,1.0,0.003115264797507788
287,prison,1882,Germany,12.0,0.037383177570093455
288,prison,1882,Greece,0.0,0.0
289,prison,1882,Holland,0.0,0.0
290,prison,1882,Hungary,0.0,0.0
291,prison,1882,India,0.0,0.0
292,prison,1882,Ireland,15.0,0.04672897196261682
293,prison,1882,Italy,4.0,0.012461059190031152
294,prison,1882,Isle of Man,1.0,0.003115264797507788
295,prison,1882,Jamaica,0.0,0.0
296,prison,1882,Japan,0.0,0.0
297,prison,1882,Java,0.0,0.0
298,prison,1882,Jugo-Slovakia (slavia),0.0,0.0
299,prison,1882,Korea,0.0,0.0
300,prison,1882,Lithuania,0.0,0.0
301,prison,1882,Mexico (old),0.0,0.0
302,prison,1882,Montenegro,0.0,0.0
303,prison,1882,Netherlands,0.0,0.0
304,prison,1882,New Brunswick,0.0,0.0
305,prison,1882,New Foundland,0.0,0.0
306,prison,1882,New Zealand,0.0,0.0
307,prison,1882,Nicaragua,0.0,0.0
308,prison,1882,Norway,1.0,0.003115264797507788
309,prison,1882,Nova Scotia,1.0,0.003115264797507788
310,prison,1882,Ontario,0.0,0.0
311,prison,1882,Philippine Islands,0.0,0.0
312,prison,1882,Poland,0.0,0.0
313,prison,1882,Porto Rico,0.0,0.0
314,prison,1882,Portugal,0.0,0.0
315,prison,1882,Prince Edward Isle,1.0,0.003115264797507788
316,prison,1882,Prussia,1.0,0.003115264797507788
317,prison,1882,Roumania,0.0,0.0
318,prison,1882,Russia,1.0,0.003115264797507788
319,prison,1882,Saxony,0.0,0.0
320,prison,1882,Scotland,2.0,0.006230529595015576
321,prison,1882,Serbia,0.0,0.0
322,prison,1882,Siam,0.0,0.0
323,prison,1882,Siberia,0.0,0.0
324,prison,1882,Sicily,0.0,0.0
325,prison,1882,South Africa,0.0,0.0
326,prison,1882,South America,0.0,0.0
327,prison,1882,South Sea Islands,0.0,0.0
328,prison,1882,South Wales,0.0,0.0
329,prison,1882,Spain,0.0,0.0
330,prison,1882,Sweden,1.0,0.003115264797507788
331,prison,1882,Switzerland,1.0,0.003115264797507788
332,prison,1882,Syria,0.0,0.0
333,prison,1882,Turkey,0.0,0.0
334,prison,1882,Wales,0.0,0.0
335,prison,1882,West Indies,0.0,0.0
336,prison,1882,Alabama,0.0,0.0
337,prison,1882,Alaska,0.0,0.0
338,prison,1882,Arizona,1.0,0.003115264797507788
339,prison,1882,Arkansas,1.0,0.003115264797507788
340,prison,1882,California,5.0,0.01557632398753894
341,prison,1882,Colorado,3.0,0.009345794392523364
342,prison,1882,Connecticut,3.0,0.009345794392523364
343,prison,1882,D.C.,2.0,0.006230529595015576
344,prison,1882,Delaware,0.0,0.0
345,prison,1882,Florida,2.0,0.006230529595015576
346,prison,1882,Georgia,0.0,0.0
347,prison,1882,Hawaii,0.0,0.0
348,prison,1882,Idaho,0.0,0.0
349,prison,1882,Illinois ,20.0,0.06230529595015576
350,prison,1882,Indiana,9.0,0.028037383177570093
351,prison,1882,Iowa,14.0,0.04361370716510903
352,prison,1882,Kansas,4.0,0.012461059190031152
353,prison,1882,Kentucky,9.0,0.028037383177570093
354,prison,1882,Louisiana ,1.0,0.003115264797507788
355,prison,1882,Maine,3.0,0.009345794392523364
356,prison,1882,Maryland,4.0,0.012461059190031152
357,prison,1882,Massachusetts,12.0,0.037383177570093455
358,prison,1882,Michigan,4.0,0.012461059190031152
359,prison,1882,Minnesota,2.0,0.006230529595015576
360,prison,1882,Mississippi,1.0,0.003115264797507788
361,prison,1882,Missouri,22.0,0.06853582554517133
362,prison,1882,Montana,0.0,0.0
363,prison,1882,Nebraska ,1.0,0.003115264797507788
364,prison,1882,Nevada,0.0,0.0
365,prison,1882,New Hampshire,0.0,0.0
366,prison,1882,New Jersey,1.0,0.003115264797507788
367,prison,1882,New Mexico,7.0,0.021806853582554516
368,prison,1882,New York,51.0,0.1588785046728972
369,prison,1882,North Carolina,3.0,0.009345794392523364
370,prison,1882,North Dakota,0.0,0.0
371,prison,1882,Ohio,21.0,0.06542056074766354
372,prison,1882,Oklahoma,0.0,0.0
373,prison,1882,Oregon,0.0,0.0
374,prison,1882,Pennsylvania,24.0,0.07476635514018691
375,prison,1882,Rhode Island,3.0,0.009345794392523364
376,prison,1882,South Carolina,1.0,0.003115264797507788
377,prison,1882,South Dakota,0.0,0.0
378,prison,1882,Tennessee ,2.0,0.006230529595015576
379,prison,1882,Texas,4.0,0.012461059190031152
380,prison,1882,Utah,1.0,0.003115264797507788
381,prison,1882,Vermont,5.0,0.01557632398753894
382,prison,1882,Virginia,4.0,0.012461059190031152
383,prison,1882,Washington,0.0,0.0
384,prison,1882,West Virginia,1.0,0.003115264797507788
385,prison,1882,Wisconsin,8.0,0.024922118380062305
386,prison,1882,Wyoming,0.0,0.0
387,prison,1884,Albania,0.0,0.0
388,prison,1884,Africa,0.0,0.0
389,prison,1884,Alsace,1.0,0.0026954177897574125
390,prison,1884,Argentine,0.0,0.0
391,prison,1884,Assyria,0.0,0.0
392,prison,1884,Australia,0.0,0.0
393,prison,1884,Austria,2.0,0.005390835579514825
394,prison,1884,Belgium,0.0,0.0
395,prison,1884,Bermuda Islands,0.0,0.0
396,prison,1884,Bohemia,0.0,0.0
397,prison,1884,Brazil,0.0,0.0
398,prison,1884,British Columbia,0.0,0.0
399,prison,1884,British West Indies,0.0,0.0
400,prison,1884,Bulgaria,0.0,0.0
401,prison,1884,Canada,11.0,0.029649595687331536
402,prison,1884,Cape Good Hope,0.0,0.0
403,prison,1884,Central America,0.0,0.0
404,prison,1884,Czecho-Slovakia,0.0,0.0
405,prison,1884,China,1.0,0.0026954177897574125
406,prison,1884,Costa Rica,0.0,0.0
407,prison,1884,Crete,0.0,0.0
408,prison,1884,Croatia,0.0,0.0
409,prison,1884,Cuba,1.0,0.0026954177897574125
410,prison,1884,Denmark,1.0,0.0026954177897574125
411,prison,1884,East Indies,0.0,0.0
412,prison,1884,England,12.0,0.03234501347708895
413,prison,1884,Egypt,0.0,0.0
414,prison,1884,Findland,0.0,0.0
415,prison,1884,France,2.0,0.005390835579514825
416,prison,1884,Germany,15.0,0.04043126684636118
417,prison,1884,Greece,0.0,0.0
418,prison,1884,Holland,0.0,0.0
419,prison,1884,Hungary,1.0,0.0026954177897574125
420,prison,1884,India,0.0,0.0
421,prison,1884,Ireland,19.0,0.05121293800539083
422,prison,1884,Italy,7.0,0.018867924528301886
423,prison,1884,Isle of Man,1.0,0.0026954177897574125
424,prison,1884,Jamaica,0.0,0.0
425,prison,1884,Japan,0.0,0.0
426,prison,1884,Java,0.0,0.0
427,prison,1884,Jugo-Slovakia (slavia),0.0,0.0
428,prison,1884,Korea,0.0,0.0
429,prison,1884,Lithuania,0.0,0.0
430,prison,1884,Mexico (old),1.0,0.0026954177897574125
431,prison,1884,Montenegro,0.0,0.0
432,prison,1884,Netherlands,0.0,0.0
433,prison,1884,New Brunswick,0.0,0.0
434,prison,1884,New Foundland,0.0,0.0
435,prison,1884,New Zealand,0.0,0.0
436,prison,1884,Nicaragua,0.0,0.0
437,prison,1884,Norway,1.0,0.0026954177897574125
438,prison,1884,Nova Scotia,0.0,0.0
439,prison,1884,Ontario,0.0,0.0
440,prison,1884,Philippine Islands,0.0,0.0
441,prison,1884,Poland,0.0,0.0
442,prison,1884,Porto Rico,0.0,0.0
443,prison,1884,Portugal,0.0,0.0
444,prison,1884,Prince Edward Isle,0.0,0.0
445,prison,1884,Prussia,0.0,0.0
446,prison,1884,Roumania,0.0,0.0
447,prison,1884,Russia,1.0,0.0026954177897574125
448,prison,1884,Saxony,0.0,0.0
449,prison,1884,Scotland,3.0,0.008086253369272238
450,prison,1884,Serbia,0.0,0.0
451,prison,1884,Siam,0.0,0.0
452,prison,1884,Siberia,0.0,0.0
453,prison,1884,Sicily,0.0,0.0
454,prison,1884,South Africa,0.0,0.0
455,prison,1884,South America,0.0,0.0
456,prison,1884,South Sea Islands,0.0,0.0
457,prison,1884,South Wales,0.0,0.0
458,prison,1884,Spain,0.0,0.0
459,prison,1884,Sweden,1.0,0.0026954177897574125
460,prison,1884,Switzerland,0.0,0.0
461,prison,1884,Syria,0.0,0.0
462,prison,1884,Turkey,0.0,0.0
463,prison,1884,Wales,1.0,0.0026954177897574125
464,prison,1884,West Indies,0.0,0.0
465,prison,1884,Alabama,1.0,0.0026954177897574125
466,prison,1884,Alaska,0.0,0.0
467,prison,1884,Arizona,1.0,0.0026954177897574125
468,prison,1884,Arkansas,4.0,0.01078167115902965
469,prison,1884,California,2.0,0.005390835579514825
470,prison,1884,Colorado,8.0,0.0215633423180593
471,prison,1884,Connecticut,1.0,0.0026954177897574125
472,prison,1884,D.C.,1.0,0.0026954177897574125
473,prison,1884,Delaware,0.0,0.0
474,prison,1884,Florida,0.0,0.0
475,prison,1884,Georgia,1.0,0.0026954177897574125
476,prison,1884,Hawaii,0.0,0.0
477,prison,1884,Idaho,0.0,0.0
478,prison,1884,Illinois ,26.0,0.07008086253369272
479,prison,1884,Indiana,6.0,0.016172506738544475
480,prison,1884,Iowa,10.0,0.026954177897574125
481,prison,1884,Kansas,6.0,0.016172506738544475
482,prison,1884,Kentucky,13.0,0.03504043126684636
483,prison,1884,Louisiana ,2.0,0.005390835579514825
484,prison,1884,Maine,3.0,0.008086253369272238
485,prison,1884,Maryland,4.0,0.01078167115902965
486,prison,1884,Massachusetts,7.0,0.018867924528301886
487,prison,1884,Michigan,9.0,0.02425876010781671
488,prison,1884,Minnesota,4.0,0.01078167115902965
489,prison,1884,Mississippi,2.0,0.005390835579514825
490,prison,1884,Missouri,28.0,0.07547169811320754
491,prison,1884,Montana,0.0,0.0
492,prison,1884,Nebraska ,2.0,0.005390835579514825
493,prison,1884,Nevada,0.0,0.0
494,prison,1884,New Hampshire,2.0,0.005390835579514825
495,prison,1884,New Jersey,0.0,0.0
496,prison,1884,New Mexico,10.0,0.026954177897574125
497,prison,1884,New York,50.0,0.1347708894878706
498,prison,1884,North Carolina,1.0,0.0026954177897574125
499,prison,1884,North Dakota,0.0,0.0
500,prison,1884,Ohio,24.0,0.0646900269541779
501,prison,1884,Oklahoma,0.0,0.0
502,prison,1884,Oregon,1.0,0.0026954177897574125
503,prison,1884,Pennsylvania,20.0,0.05390835579514825
504,prison,1884,Rhode Island,5.0,0.013477088948787063
505,prison,1884,South Carolina,1.0,0.0026954177897574125
506,prison,1884,South Dakota,0.0,0.0
507,prison,1884,Tennessee ,4.0,0.01078167115902965
508,prison,1884,Texas,6.0,0.016172506738544475
509,prison,1884,Utah,1.0,0.0026954177897574125
510,prison,1884,Vermont,1.0,0.0026954177897574125
511,prison,1884,Virginia,7.0,0.018867924528301886
512,prison,1884,Washington,0.0,0.0
513,prison,1884,West Virginia,3.0,0.008086253369272238
514,prison,1884,Wisconsin,11.0,0.029649595687331536
515,prison,1884,Wyoming,1.0,0.0026954177897574125
516,prison,1886,Albania,0.0,0.0
517,prison,1886,Africa,0.0,0.0
518,prison,1886,Alsace,0.0,0.0
519,prison,1886,Argentine,0.0,0.0
520,prison,1886,Assyria,0.0,0.0
521,prison,1886,Australia,1.0,0.003367003367003367
522,prison,1886,Austria,0.0,0.0
523,prison,1886,Belgium,1.0,0.003367003367003367
524,prison,1886,Bermuda Islands,0.0,0.0
525,prison,1886,Bohemia,0.0,0.0
526,prison,1886,Brazil,0.0,0.0
527,prison,1886,British Columbia,0.0,0.0
528,prison,1886,British West Indies,0.0,0.0
529,prison,1886,Bulgaria,0.0,0.0
530,prison,1886,Canada,7.0,0.02356902356902357
531,prison,1886,Cape Good Hope,0.0,0.0
532,prison,1886,Central America,0.0,0.0
533,prison,1886,Czecho-Slovakia,0.0,0.0
534,prison,1886,China,1.0,0.003367003367003367
535,prison,1886,Costa Rica,0.0,0.0
536,prison,1886,Crete,0.0,0.0
537,prison,1886,Croatia,0.0,0.0
538,prison,1886,Cuba,0.0,0.0
539,prison,1886,Denmark,1.0,0.003367003367003367
540,prison,1886,East Indies,1.0,0.003367003367003367
541,prison,1886,England,13.0,0.04377104377104377
542,prison,1886,Egypt,0.0,0.0
543,prison,1886,Findland,0.0,0.0
544,prison,1886,France,1.0,0.003367003367003367
545,prison,1886,Germany,12.0,0.04040404040404041
546,prison,1886,Greece,0.0,0.0
547,prison,1886,Holland,1.0,0.003367003367003367
548,prison,1886,Hungary,0.0,0.0
549,prison,1886,India,0.0,0.0
550,prison,1886,Ireland,16.0,0.05387205387205387
551,prison,1886,Italy,6.0,0.020202020202020204
552,prison,1886,Isle of Man,2.0,0.006734006734006734
553,prison,1886,Jamaica,0.0,0.0
554,prison,1886,Japan,0.0,0.0
555,prison,1886,Java,0.0,0.0
556,prison,1886,Jugo-Slovakia (slavia),0.0,0.0
557,prison,1886,Korea,0.0,0.0
558,prison,1886,Lithuania,0.0,0.0
559,prison,1886,Mexico (old),0.0,0.0
560,prison,1886,Montenegro,0.0,0.0
561,prison,1886,Netherlands,0.0,0.0
562,prison,1886,New Brunswick,0.0,0.0
563,prison,1886,New Foundland,0.0,0.0
564,prison,1886,New Zealand,0.0,0.0
565,prison,1886,Nicaragua,0.0,0.0
566,prison,1886,Norway,1.0,0.003367003367003367
567,prison,1886,Nova Scotia,1.0,0.003367003367003367
568,prison,1886,Ontario,0.0,0.0
569,prison,1886,Philippine Islands,0.0,0.0
570,prison,1886,Poland,0.0,0.0
571,prison,1886,Porto Rico,0.0,0.0
572,prison,1886,Portugal,0.0,0.0
573,prison,1886,Prince Edward Isle,0.0,0.0
574,prison,1886,Prussia,0.0,0.0
575,prison,1886,Roumania,0.0,0.0
576,prison,1886,Russia,0.0,0.0
577,prison,1886,Saxony,0.0,0.0
578,prison,1886,Scotland,1.0,0.003367003367003367
579,prison,1886,Serbia,0.0,0.0
580,prison,1886,Siam,0.0,0.0
581,prison,1886,Siberia,0.0,0.0
582,prison,1886,Sicily,0.0,0.0
583,prison,1886,South Africa,0.0,0.0
584,prison,1886,South America,0.0,0.0
585,prison,1886,South Sea Islands,0.0,0.0
586,prison,1886,South Wales,0.0,0.0
587,prison,1886,Spain,0.0,0.0
588,prison,1886,Sweden,1.0,0.003367003367003367
589,prison,1886,Switzerland,1.0,0.003367003367003367
590,prison,1886,Syria,0.0,0.0
591,prison,1886,Turkey,0.0,0.0
592,prison,1886,Wales,0.0,0.0
593,prison,1886,West Indies,1.0,0.003367003367003367
594,prison,1886,Alabama,1.0,0.003367003367003367
595,prison,1886,Alaska,0.0,0.0
596,prison,1886,Arizona,0.0,0.0
597,prison,1886,Arkansas,2.0,0.006734006734006734
598,prison,1886,California,3.0,0.010101010101010102
599,prison,1886,Colorado,2.0,0.006734006734006734
600,prison,1886,Connecticut,3.0,0.010101010101010102
601,prison,1886,D.C.,2.0,0.006734006734006734
